Brand,Prouduct Name,Price,Expected Delivary,Return-Exchange,Availibilty,Img Url
Intern,Intern INT-38C Natural Linden Wood Acoustic Guitar Kit with Carry Bag & Picks,"2,099","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-Natural-Acoustic-Guitar/dp/B07X4LPJ6H/ref=sr_1_37?keywords=guitar&qid=1693314444&sr=8-37
-,-,-,-,-,-,https://www.amazon.in/Acoustic-plectrums-stability-resistance-Electric/dp/B09YH937P2/ref=sr_1_38?keywords=guitar&qid=1693314444&sr=8-38
Intern,"Intern INT-38C-BK-G Cutaway Right Handed Acoustic Guitar Kit, with Bag, Nickel Strings, Pick And Strap (Black) -6 Strings","2,019","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-BK-G-Guitar-Kit-Black/dp/B07K9497RC/ref=sr_1_39?keywords=guitar&qid=1693314444&sr=8-39
Intern,"INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof, Bend resistance, Durable Action, Natural tone & bright resonance. Black Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set & Plectrums.","2,699","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Acoustic-Humidity-resistance-resonance-Plectrums/dp/B09RQZ6HM2/ref=sr_1_40?keywords=guitar&qid=1693314444&sr=8-40
Intern,Intern Int-38c Sunburst Linden Wood Acoustic Guitar Kit with Carry Bag and Picks,"2,099","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-Sunburst-Acoustic-Guitar/dp/B07X1J4D3Z/ref=sr_1_41?keywords=guitar&qid=1693314444&sr=8-41
VAULT,Vault EA40 41 inch Premium Solid Spruce-Top Cutaway Acoustic Guitar Natural,"6,934","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Premium-Spruce-Top-Cutaway-Acoustic-Guitar/dp/B08FFZY6BJ/ref=sr_1_42?keywords=guitar&qid=1693314444&sr=8-42
-,-,-,-,-,-,https://www.amazon.in/Ibanez-IBA-MD39CNT-Acoustic-Guitar-MD39C-NT/dp/B07G4CCMYL/ref=sr_1_43?keywords=guitar&qid=1693314444&sr=8-43
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Pink (Combo, Strings,Bag,Picks and guitar course)","2,499","Sunday, 3 September",7 days Replacement,Only 1 left in stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNSN9BV/ref=sr_1_44?keywords=guitar&qid=1693314444&sr=8-44
-,-,-,-,-,-,https://www.amazon.in/Yamaha-FX280-acoustic-Dreadnought-Natural/dp/B09HR6BNFQ/ref=sr_1_45?keywords=guitar&qid=1693314444&sr=8-45
MUSTANG,-,-,-,-,-,https://www.amazon.in/Tagima-Junior-Inch-Acoustic-Guitar/dp/B0BTBWJTGH/ref=sr_1_46?keywords=guitar&qid=1693314444&sr=8-46
YAMAHA,"Yamaha FS100C Acoustic Guitar, Natural","9,990","Friday, 8 September",7 days Replacement,In stock,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sr_1_47?keywords=guitar&qid=1693314444&sr=8-47
