Brand,Prouduct Name,Price,Expected Delivary,Availibilty,Img Url
blueberry,"Blueberry, VIP-340, 34Inch Acoustic Guitar Kit With Bag, Belt, String Set and 2 Picks (Black)","2,999","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-VIP-340-34Inch-Acoustic-Guitar/dp/B0BVR4M8MC/ref=sr_1_93?keywords=guitar&qid=1693255487&sr=8-93
blueberry,"SHARE BY Blueberry R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Natural)","3,999","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-Trussrod-Acoustic-Strings-Natural/dp/B09WLNQFC9/ref=sr_1_94?keywords=guitar&qid=1693255487&sr=8-94
JUAREZ,"Juârez JRZ38C/ASH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Ash with Bag, Strings, Picks and Strap","2,799","Thursday, 31 August",In stock,https://www.amazon.in/Juarez-JRZ38C-ASH-Strings-Acoustic/dp/B072JTPNZC/ref=sr_1_95?keywords=guitar&qid=1693255487&sr=8-95
JUAREZ,"JUAREZ Fiésta 104.14 cm (41 Inch) Acoustic Guitar with Dual Action Truss Rod, 21 Frets Rosewood Fretboard & Bridge, Padded 5mm Cotton Bag, Cotton Strap, 2 Picks, Allen Key, Extra String Set, Brown","4,009","Thursday, 31 August",Only 2 left in stock,https://www.amazon.in/JUAREZ-Fi%C3%A9sta-Acoustic-Rosewood-Fretboard/dp/B08GZZVCB7/ref=sr_1_96?keywords=guitar&qid=1693255487&sr=8-96
Fender,Fender Squier 39 Inch 6 String Cutaway Acoustic Guitar Hardwood Fretboard-Natural Sa 135C Right-Hand One Of The Most Reputed Guitar Brands In The World,"7,586","Thursday, 31 August",In stock,https://www.amazon.in/Fender-String-Cutaway-Acoustic-Guitar/dp/B07YX5W8MV/ref=sr_1_97?keywords=guitar&qid=1693255487&sr=8-97
Fender,Fender Acoustic Guitar Dreadnought Solid CD60S Black 970110006,"13,739","Thursday, 31 August",In stock,https://www.amazon.in/Fender-091170170-Acoustic-Guitar/dp/B08PMT53X7/ref=sr_1_98?keywords=guitar&qid=1693255487&sr=8-98
VAULT,"Vault Junior 30 Inch Acoustic Guitar for Kids with Truss Rod, Gig-Bag, Strings, Straps, Picks, String winder, Polishing Cloth & E-Book - Natural Gloss","3,799","Thursday, 31 August",In stock,https://www.amazon.in/Junior-Acoustic-Guitar-Strings-Polishing/dp/B07RMJ88G2/ref=sr_1_99?keywords=guitar&qid=1693255487&sr=8-99
blueberry,"Blueberry B-D38, 38 Inch Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Sunburst)","2,795","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-B-D38-Acoustic-Inbuilt-Sunburst/dp/B08LNP8KGS/ref=sr_1_100?keywords=guitar&qid=1693255487&sr=8-100
Belear,"Belear I-280-WBL Couturier 38 Inch Blue Cutaway Acoustic Guitar With Dual Action Truss Rod, Bag,Strap String and Picks","3,049","Wednesday, 6 September",In stock,https://www.amazon.in/Belear-I-280-WBL-Couturier-Cutaway-Acoustic/dp/B0BPSX7WHQ/ref=sr_1_101?keywords=guitar&qid=1693255487&sr=8-101
YAMAHA,"YAMAHA F310, 6-Strings Rose Wood Acoustic Guitar, Natural","9,300","Saturday, 2 September",In stock,https://www.amazon.in/Yamaha-F310-6-Strings-Acoustic-Natural/dp/B000RVYW7E/ref=sr_1_102?keywords=guitar&qid=1693255487&sr=8-102
YAMAHA,"Yamaha F310, 6-Strings Acoustic Guitar, Natural","9,195","Saturday, 2 September",In stock,https://www.amazon.in/Yamaha-F310-Acoustic-Guitar-Natural/dp/B08Z3C1GRM/ref=sr_1_103?keywords=guitar&qid=1693255487&sr=8-103
blueberry,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Sunburst)","2,395","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-38C-Acoustic-Strings-Sunburst/dp/B08KLMQN88/ref=sr_1_104?keywords=guitar&qid=1693255487&sr=8-104
Kadence,"Kadence Guitar Frontier Series, Blue Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks, Guitar stand, Capo and Bag, Super Combo (Blue, Acoustic)","4,999","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYnRmOjIwMTUyMjMzNjg5OTk4OjowOjo&url=%2FKadence-Frontier-Acoustic-Foldable-Strings%2Fdp%2FB01CJJGEVS%2Fref%3Dsr_1_105_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-105-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
blueberry,"Blueberry, VIP-340, 34Inch Acoustic Guitar Kit With Bag, Belt, String Set and 2 Picks (Black)","2,999","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYnRmOjIwMTI3OTkwMDI5Nzk4OjowOjo&url=%2FBlueberry-VIP-340-34Inch-Acoustic-Guitar%2Fdp%2FB0BVR4M8MC%2Fref%3Dsr_1_106_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-106-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
